RU1,RU2,RU3,RU4,RU5,RU6,RU7,Result
2,0,2,6,6,8,1,no
2,1,1,6,6,8,1,no
2,0,2,6,6,8,1,no
2,0,1,6,5,9,1,no
2,0,1,6,4,9,1,no
2,0,1,6,3,9,1,no
2,0,1,6,2,9,1,no
2,0,1,6,1,9,1,no
2,0,1,6,0,9,1,no
2,0,1,5,9,9,1,no
2,0,1,5,8,9,1,no
2,0,1,5,7,9,1,no
2,0,1,5,6,9,1,no
2,0,1,5,5,9,1,no
2,1,2,9,9,9,1,no
1,9,9,3,7,7,1,no
1,7,2,3,7,7,1,no
1,4,2,3,7,7,1,no
2,1,2,3,7,7,1,no
2,0,1,5,2,9,1,no
2,0,1,5,1,9,1,no
2,0,1,5,0,9,1,no
2,0,1,4,9,9,1,no
2,1,1,7,7,7,1,no
2,1,2,7,7,7,1,no
2,1,2,9,7,7,1,no
2,1,2,1,1,1,1,no
2,1,2,9,9,9,1,no
2,1,2,1,1,1,1,no
2,1,2,1,1,1,1,no
2,1,3,7,6,9,1,yes
2,2,3,7,6,9,1,yes
2,1,3,6,1,1,1,yes
2,1,4,6,1,1,1,yes
2,1,3,6,6,8,1,yes
2,2,3,6,6,8,1,yes
2,4,9,9,9,9,9,yes
2,5,9,9,9,9,9,yes
2,2,3,9,9,9,9,yes
2,1,3,9,9,9,9,yes
2,2,3,1,1,1,1,yes
2,1,3,7,1,8,1,yes
2,1,3,7,6,8,1,yes
2,1,3,8,1,8,1,yes
2,1,3,8,6,8,1,yes
2,2,3,9,1,8,1,yes
2,1,3,9,6,8,1,yes
2,1,4,0,1,8,1,yes
2,1,4,0,6,8,1,yes
2,1,4,1,1,8,1,yes
2,1,4,1,6,8,1,yes
2,1,4,2,1,8,1,yes
2,1,4,2,6,8,1,yes
2,1,4,3,1,8,1,yes
2,1,4,3,6,8,1,yes
2,1,4,4,1,8,1,yes
2,1,4,4,6,8,1,yes
4,1,4,5,1,8,1,yes
3,1,4,5,6,8,1,yes
2,1,4,6,1,8,1,yes
